"","ReadsCount","Description","TaxonID","Superkingdom","Phylum","Class","Order","Family","Genus","Species"
"Alteromonas sp. MB-3u-76","1","Alteromonas sp. MB-3u-76 chromosome, complete genome","2058133","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas sp. MB-3u-76"
"Alteromonas sp. RW2A1","1","Alteromonas sp. RW2A1 genome","1917158","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas sp. RW2A1"
"Anabaena sp. 90","1","Anabaena sp. 90 chromosome chANA01, complete sequence","  46234","Bacteria","Cyanobacteria","","Nostocales","Nostocaceae","Anabaena","Anabaena sp. 90"
"Anaeromyxobacter dehalogenans","1","Anaeromyxobacter dehalogenans 2CP-C, complete genome"," 290397","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter dehalogenans"
"Anaeromyxobacter sp. Fw109-5","1","Anaeromyxobacter sp. Fw109-5, complete genome"," 404589","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter sp. Fw109-5"
"Aneurinibacillus sp. XH2","1","Aneurinibacillus sp. XH2, complete genome","1450761","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Aneurinibacillus","Aneurinibacillus sp. XH2"
"Anoxybacillus amylolyticus","1","Anoxybacillus amylolyticus strain DSM 15939 chromosome, complete genome"," 294699","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus","Anoxybacillus amylolyticus"
"Antarctobacter heliothermus","1","Antarctobacter heliothermus strain SMS3 chromosome, complete genome","  74033","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Antarctobacter","Antarctobacter heliothermus"
"Archangium gephyra","1","Archangium gephyra strain DSM 2261, complete genome","     48","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Archangium","Archangium gephyra"
"Arthrobacter phage Molivia","1","Arthrobacter phage Molivia, complete genome","2015839","Viruses","","","Caudovirales","Siphoviridae","","Arthrobacter phage Molivia"
"Arthrobacter sp. PAMC 25486","1","Arthrobacter sp. PAMC25486, complete genome","1494608","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. PAMC 25486"
"Arthrobacter sp. PGP41","1","Arthrobacter sp. PGP41 chromosome, complete genome","2079227","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. PGP41"
"Arthrospira sp. TJSD092","1","Arthrospira sp. TJSD092 chromosome, complete genome","2153484","Bacteria","Cyanobacteria","","Oscillatoriales","Microcoleaceae","Arthrospira","Arthrospira sp. TJSD092"
"Bacillus horikoshii","1","Bacillus horikoshii strain 20a chromosome, complete genome","  79883","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus horikoshii"
"Bacillus oceanisediminis","1","Bacillus oceanisediminis 2691 chromosome, complete genome","1196031","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus oceanisediminis"
"Bacillus pumilus","1","Bacillus pumilus SAFR-032, complete genome"," 315750","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus pumilus"
"Bacillus sp. OxB-1","1","Bacillus sp. OxB-1 DNA, complete genome","  98228","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus sp. OxB-1"
"Bacteroides caecimuris","1","Bacteroides caecimuris strain I48 chromosome, complete genome","1796613","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caecimuris"
"Bacteroides vulgatus","1","Bacteroides vulgatus ATCC 8482, complete genome"," 435590","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides vulgatus"
"Bartonella ancashensis","1","Bartonella ancashensis strain 20.00, complete genome","1318743","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella ancashensis"
"Bartonella clarridgeiae","1","Bartonella clarridgeiae strain 73, complete genome"," 696125","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella clarridgeiae"
"Bartonella sp. JB15","1","Bartonella sp. JB15, complete genome","1933906","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella sp. JB15"
"Bartonella sp. JB63","1","Bartonella sp. JB63, complete genome","1933907","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella sp. JB63"
"Bartonella sp. WD16.2","1","Bartonella sp. WD16.2, complete genome","1933904","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae","Bartonella","Bartonella sp. WD16.2"
"beta proteobacterium CB","1","Beta proteobacterium CB chromosome, complete genome"," 543913","Bacteria","Proteobacteria","Betaproteobacteria","","","","beta proteobacterium CB"
"Bifidobacterium bifidum","1","Bifidobacterium bifidum S17, complete genome"," 883062","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum"
"Bifidobacterium breve","1","Bifidobacterium breve ACS-071-V-Sch8b, complete genome"," 866777","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium breve"
"Bifidobacterium kashiwanohense","1","Bifidobacterium kashiwanohense PV20-2, complete genome","1447716","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium kashiwanohense"
"Bordetella genomosp. 9","1","Bordetella genomosp. 9 strain AU17164 chromosome, complete genome","1416803","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella genomosp. 9"
"Bordetella hinzii","1","Bordetella hinzii strain F582, complete genome"," 103855","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella hinzii"
"Bordetella parapertussis","1","Bordetella parapertussis strain 12822, complete genome"," 257311","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella parapertussis"
"Bordetella sp. H567","1","Bordetella sp. H567, complete genome","1697043","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella sp. H567"
"Borreliella garinii","1","Borrelia garinii BgVir chromosome linear, complete sequence","1081646","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Borreliaceae","Borreliella","Borreliella garinii"
"Brachyspira intermedia","1","Brachyspira intermedia PWS/A, complete genome","1045858","Bacteria","Spirochaetes","Spirochaetia","Brachyspirales","Brachyspiraceae","Brachyspira","Brachyspira intermedia"
"Brenneria goodwinii","1","Brenneria goodwinii strain FRB141, complete genome","1109412","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Brenneria","Brenneria goodwinii"
"Brevibacillus brevis","1","Brevibacillus brevis NBRC 100599 DNA, complete genome"," 358681","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus","Brevibacillus brevis"
"[Brevibacterium] flavum","1","[Brevibacterium] flavum strain ATCC 15168, complete genome","  92706","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","[Brevibacterium] flavum"
"Brucella ovis","1","Brucella ovis ATCC 25840 chromosome I, complete sequence"," 444178","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella ovis"
"Buchnera aphidicola","1","Buchnera aphidicola str. Sg (Schizaphis graminum), complete genome"," 198804","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Buchnera","Buchnera aphidicola"
"Burkholderia dolosa","1","Burkholderia dolosa AU0158 chromosome 1, complete sequence"," 350701","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia dolosa"
"Burkholderia latens","1","Burkholderia latens strain AU17928 chromosome 1, complete sequence"," 488446","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia latens"
"Burkholderiales bacterium GJ-E10","1","Burkholderiales bacterium GJ-E10 DNA, complete genome","1469502","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","","Burkholderiales bacterium GJ-E10"
"Burkholderia pseudomultivorans","1","Burkholderia pseudomultivorans strain SUB-INT23-BP2 chromosome 1, complete sequence","1207504","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia pseudomultivorans"
"Burkholderia pyrrocinia","1","Burkholderia pyrrocinia strain DSM 10685 chromosome 1, complete sequence","  60550","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia pyrrocinia"
"Burkholderia sp. BDU8","1","Burkholderia sp. BDU8 chromosome 1, complete sequence","1385592","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. BDU8"
"Burkholderia sp. CCGE1001","1","Burkholderia sp. CCGE1001 chromosome 1, complete sequence"," 640510","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. CCGE1001"
"Burkholderia sp. CCGE1002","1","Burkholderia sp. CCGE1002 chromosome 1, complete sequence"," 640511","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. CCGE1002"
"Burkholderia sp. HB1","1","Burkholderia sp. HB1 chromosome 1, complete sequence","1678678","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. HB1"
"Burkholderia sp. KJ006","1","Burkholderia sp. KJ006 chromosome 1, complete sequence"," 416344","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. KJ006"
"Burkholderia sp. LA-2-3-30-S1-D2","1","Burkholderia sp. LA-2-3-30-S1-D2 chromosome 1, complete sequence","1637862","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. LA-2-3-30-S1-D2"
"Burkholderia sp. PAMC 28687","1","Burkholderia sp. PAMC 28687 strain PAMC28687 chromosome 1, complete sequence","1795874","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. PAMC 28687"
"Burkholderia sp. RPE64","1","Burkholderia sp. RPE64 DNA, chromosome 1, complete genome"," 758793","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. RPE64"
"Burkholderia sp. YI23","1","Burkholderia sp. YI23 chromosome 1, complete sequence","1097668","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. YI23"
"Burkholderia vietnamiensis","1","Burkholderia vietnamiensis G4 chromosome 1, complete sequence"," 269482","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia vietnamiensis"
"Butyrivibrio proteoclasticus","1","Butyrivibrio proteoclasticus B316 chromosome 1, complete sequence"," 515622","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio","Butyrivibrio proteoclasticus"
"Calothrix sp. NIES-4071","1","Calothrix sp. NIES-4071 DNA, complete genome","2005469","Bacteria","Cyanobacteria","","Nostocales","Rivulariaceae","Calothrix","Calothrix sp. NIES-4071"
"Campylobacter coli","1","Campylobacter coli CVM N29710, complete genome","1273173","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter coli"
"Candidatus Amoebophilus asiaticus","1","Candidatus Amoebophilus asiaticus 5a2, complete genome"," 452471","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Amoebophilaceae","Candidatus Amoebophilus","Candidatus Amoebophilus asiaticus"
"Candidatus Endolissoclinum faulkneri","1","Candidatus Endolissoclinum faulkneri L2, complete genome","1193729","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Candidatus Endolissoclinum","Candidatus Endolissoclinum faulkneri"
"Candidatus Fonsibacter ubiquis","1","Candidatus Fonsibacter ubiquis isolate LSUCC0530 chromosome, complete genome","1925548","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","","Candidatus Fonsibacter","Candidatus Fonsibacter ubiquis"
"Candidatus Methylopumilus planktonicus","1","Candidatus Methylopumilus planktonicus genome assembly Candidatus Methylopumilus planktonicus MMS-2-53, chromosome : 1","1581557","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Candidatus Methylopumilus","Candidatus Methylopumilus planktonicus"
"Candidatus Methylopumilus turicensis","1","Candidatus Methylopumilus turicensis genome assembly Candidatus Methylopumilus turicensis MMS-10A-171, chromosome : 1","1581680","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Candidatus Methylopumilus","Candidatus Methylopumilus turicensis"
"Candidatus Nanopelagicus abundans","1","Candidatus Nanopelagicus abundans isolate MMS-IIB-91 chromosome, complete genome","1884916","Bacteria","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Nanopelagicus","Candidatus Nanopelagicus abundans"
"Candidatus Nasuia deltocephalinicola","1","Candidatus Nasuia deltocephalinicola str. NAS-ALF, complete genome","1343077","Bacteria","Proteobacteria","Betaproteobacteria","","","Candidatus Nasuia","Candidatus Nasuia deltocephalinicola"
"Candidatus Planktophila limnetica","1","Candidatus Planktophila sp. MMS-VB-114, complete genome"," 573600","Bacteria","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Planktophila","Candidatus Planktophila limnetica"
"Candidatus Planktophila sulfonica","1","Candidatus Planktophila sulfonica isolate MMS-IA-56 chromosome, complete genome","1884904","Bacteria","Actinobacteria","Actinobacteria","Candidatus Nanopelagicales","Candidatus Nanopelagicaceae","Candidatus Planktophila","Candidatus Planktophila sulfonica"
"Candidatus Puniceispirillum marinum","1","Candidatus Puniceispirillum marinum IMCC1322, complete genome"," 488538","Bacteria","Proteobacteria","Alphaproteobacteria","","","Candidatus Puniceispirillum","Candidatus Puniceispirillum marinum"
"Candidatus Solibacter usitatus","1","Candidatus Solibacter usitatus Ellin6076 chromosome, complete genome"," 234267","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae","Candidatus Solibacter","Candidatus Solibacter usitatus"
"Candidatus Thiodictyon syntrophicum","1","Candidatus Thiodictyon syntrophicum strain Cad16T chromosome, complete genome","1166950","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Thiodictyon","Candidatus Thiodictyon syntrophicum"
"Capnocytophaga leadbetteri","1","Capnocytophaga leadbetteri strain H6253 chromosome, complete genome"," 327575","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga leadbetteri"
"Capnocytophaga sp. ChDC OS43","1","Capnocytophaga sp. ChDC OS43 chromosome, complete genome"," 209053","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga sp. ChDC OS43"
"Capnocytophaga sp. oral taxon 864","1","Capnocytophaga sp. oral taxon 864 strain F0512 chromosome, complete genome","1316593","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga sp. oral taxon 864"
"Capnocytophaga stomatis","1","Capnocytophaga stomatis strain H2177 chromosome, complete genome","1848904","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga stomatis"
"Carnobacterium maltaromaticum","1","Carnobacterium maltaromaticum LMA28 complete genome","1234679","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Carnobacterium maltaromaticum"
"Catenulispora acidiphila","1","Catenulispora acidiphila DSM 44928, complete genome"," 479433","Bacteria","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora acidiphila"
"Celeribacter manganoxidans","1","Celeribacter manganoxidans strain DY25 chromosome, complete genome","1411902","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Celeribacter","Celeribacter manganoxidans"
"Cellulosilyticum lentocellum","1","Clostridium lentocellum DSM 5427, complete genome"," 642492","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum","Cellulosilyticum lentocellum"
"Chania multitudinisentens","1","Chania multitudinisentens RB-25, complete genome","1441930","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Chania","Chania multitudinisentens"
"Chitinophagaceae bacterium 13","1","Chitinophagaceae bacterium 13 chromosome, complete genome","2029983","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","","Chitinophagaceae bacterium 13"
"Chlorobaculum parvum","1","Chlorobaculum parvum NCIB 8327, complete genome"," 517417","Bacteria","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobaculum","Chlorobaculum parvum"
"Chlorobium chlorochromatii","1","Chlorobium chlorochromatii CaD3, complete genome"," 340177","Bacteria","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium","Chlorobium chlorochromatii"
"Chromatiaceae bacterium 2141T.STBD.0c.01a","1","Chromatiaceae bacterium 2141T.STBD.0c.01a chromosome, complete genome","1978339","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","","Chromatiaceae bacterium 2141T.STBD.0c.01a"
"Chromohalobacter salexigens","1","Chromohalobacter salexigens DSM 3043, complete genome"," 290398","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Chromohalobacter","Chromohalobacter salexigens"
"Citrobacter phage CR44b","1","Citrobacter phage CR44b complete genome","1455075","Viruses","","","Caudovirales","Podoviridae","","Citrobacter phage CR44b"
"Citrobacter sp. FDAARGOS_156","1","Citrobacter sp. FDAARGOS_156 strain FDAARGOS_155 chromosome, complete genome","1702170","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter sp. FDAARGOS_156"
"Citrus endogenous pararetrovirus","1","Citrus endogenous pararetrovirus clone CB16-3, complete genome","1435008","Viruses","","","Ortervirales","Retroviridae","","Citrus endogenous pararetrovirus"
"Clavibacter capsici","1","Clavibacter michiganensis strain PF008, complete genome","1874630","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Clavibacter","Clavibacter capsici"
"Clavibacter sepedonicus","1","Clavibacter michiganensis subsp. sepedonicus complete genome","  31964","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Clavibacter","Clavibacter sepedonicus"
"Clostridium baratii","1","Clostridium baratii str. Sullivan, complete genome","1415775","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium baratii"
"[Clostridium] bolteae","1","[Clostridium] bolteae strain ATCC BAA-613 chromosome, complete genome"," 208479","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","[Clostridium] bolteae"
"Clostridium bornimense","1","Clostridium bornimense replicon M2/40_rep1, complete genome, type strain M2/40T","1216932","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium bornimense"
"Clostridium sp. SY8519","1","Clostridium sp. SY8519 DNA, complete genome","1042156","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium sp. SY8519"
"Clostridium taeniosporum","1","Clostridium taeniosporum strain 1/k chromosome, complete genome"," 394958","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium taeniosporum"
"Corallococcus coralloides","1","Corallococcus coralloides DSM 2259, complete genome","1144275","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Corallococcus","Corallococcus coralloides"
"Corynebacterium argentoratense","1","Corynebacterium argentoratense DSM 44202, complete genome","1348662","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium argentoratense"
"Corynebacterium lactis","1","Corynebacterium lactis RW2-5, complete genome","1408189","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium lactis"
"Corynebacterium singulare","1","Corynebacterium singulare strain IBS B52218, complete genome"," 161899","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium singulare"
"Corynebacterium sp. 2183","1","Corynebacterium sp. 2183 chromosome, complete genome","2080740","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium sp. 2183"
"Corynebacterium sp. 2184","1","Corynebacterium sp. 2184 chromosome, complete genome","2079535","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium sp. 2184"
"Corynebacterium sp. NML98-0116","1","Corynebacterium sp. NML98-0116 genome"," 702967","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium sp. NML98-0116"
"Corynebacterium uterequi","1","Corynebacterium uterequi strain DSM 45634, complete genome","1072256","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium uterequi"
"Cowpox virus","1","Cowpox virus strain Brighton Red, complete genome","  10243","Viruses","","","","Poxviridae","Orthopoxvirus","Cowpox virus"
"Cronobacter condimenti","1","Cronobacter condimenti 1330 strain LMG 26250, complete genome","1073999","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter condimenti"
"Cronobacter malonaticus","1","Cronobacter malonaticus strain CMCC45402 chromosome, complete genome"," 413503","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter malonaticus"
"Cronobacter muytjensii","1","Cronobacter muytjensii ATCC 51329, complete genome","1159613","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter muytjensii"
"Cronobacter phage Dev2","1","Cronobacter phage Dev2 complete genome","1410331","Viruses","","","Caudovirales","Podoviridae","","Cronobacter phage Dev2"
"Cronobacter sakazakii","1","Cronobacter sakazakii ATCC BAA-894, complete genome"," 290339","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter sakazakii"
"Cronobacter universalis","1","Cronobacter universalis NCTC 9529, complete genome","1074000","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter universalis"
"Cyanobium sp. NIES-981","1","Cyanobium sp. NIES-981 strain NIES-981 genome assembly, chromosome: I","1851505","Bacteria","Cyanobacteria","","Synechococcales","Synechococcaceae","Cyanobium","Cyanobium sp. NIES-981"
"Cyclobacterium amurskyense","1","Cyclobacterium amurskyense strain KCTC 12363, complete genome"," 320787","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Cyclobacterium","Cyclobacterium amurskyense"
"Cyclobacterium marinum","1","Cyclobacterium marinum DSM 745, complete genome"," 880070","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Cyclobacterium","Cyclobacterium marinum"
"Cycloclasticus zancles","1","Cycloclasticus zancles 78-ME, complete genome","1198232","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Cycloclasticus","Cycloclasticus zancles"
"Cyprinid herpesvirus 1","1","Cyprinid herpesvirus 1 strain NG-J1, complete genome"," 317858","Viruses","","","Herpesvirales","Alloherpesviridae","Cyprinivirus","Cyprinid herpesvirus 1"
"Dehalobacterium formicoaceticum","1","Dehalobacterium formicoaceticum strain DMC chromosome, complete genome","  51515","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Dehalobacterium","Dehalobacterium formicoaceticum"
"Dehalogenimonas lykanthroporepellens","1","Dehalogenimonas lykanthroporepellens BL-DC-9, complete genome"," 552811","Bacteria","Chloroflexi","Dehalococcoidia","","","Dehalogenimonas","Dehalogenimonas lykanthroporepellens"
"Deinococcus maricopensis","1","Deinococcus maricopensis DSM 21211, complete genome"," 709986","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus maricopensis"
"Denitrobacterium detoxificans","1","Denitrobacterium detoxificans strain NPOH1, complete genome","  79604","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Denitrobacterium","Denitrobacterium detoxificans"
"Dermatophilus congolensis","1","Dermatophilus congolensis strain NCTC13039 genome assembly, chromosome: 1","   1863","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermatophilaceae","Dermatophilus","Dermatophilus congolensis"
"Desulfobacula toluolica","1","Desulfobacula toluolica Tol2 complete genome"," 651182","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacula","Desulfobacula toluolica"
"Desulfobulbus sp. ORNL","1","Desulfobulbus sp. ORNL chromosome, complete genome","1986146","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus","Desulfobulbus sp. ORNL"
"Desulfotalea psychrophila","1","Desulfotalea psychrophila LSv54 chromosome"," 177439","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfotalea","Desulfotalea psychrophila"
"Desulfotomaculum gibsoniae","1","Desulfotomaculum gibsoniae DSM 7213, complete genome"," 767817","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","Desulfotomaculum gibsoniae"
"Desulfovibrio vulgaris","1","Desulfovibrio vulgaris DP4, complete genome"," 391774","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio vulgaris"
"Dialister pneumosintes","1","Dialister pneumosintes strain F0677 chromosome, complete genome","  39950","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister pneumosintes"
"Dickeya chrysanthemi","1","Dickeya chrysanthemi Ech1591 chromosome, complete genome"," 561229","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya chrysanthemi"
"Dickeya dianthicola","1","Dickeya dianthicola RNS04.9, complete genome","1306405","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya dianthicola"
"Dickeya fangzhongdai","1","Dickeya fangzhongdai strain DSM 101947 chromosome, complete genome","1778540","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya fangzhongdai"
